num,category,title,population
54, 육아/교육," 현장실습 유가족들은 더 이상의 희생자가 없기를 피눈물로 청원합니다.
"," 4,710
												"
55, 보건복지," 백신 패스 전면 철회 요구합니다!
"," 4,693
												"
56, 기타," 2021년 제 32회 공인중개사 2차 시험지 오타로 인한 피해자를 구제해 주세요
"," 4,636
												"
57, 보건복지," 아버지가 제 결혼식을 2주 앞두고 화이자 2차 백신을 맞고 돌아가셨습니다.
"," 4,552
												"
58, 문화/예술/체육/언론," 음원사재기 1호 가수 관련 사건 철저한 수사 촉구합니다
"," 4,549
												"
59, 안전/환경," 성착취물 로 고통받게 하는 불법 영상 딥페이크 제작자.소지자 처벌을 받을수 있게 부탁합니다
"," 4,449
												"
60, 보건복지," '백신패스'를 반대합니다.
"," 4,445
												"
61, 행정," 고 ***군 한강대학생의문사 검찰원점재수사촉구 청원
"," 4,409
												"
62, 보건복지," [아스트라 중증 부작용] 저희 장모님 다시 깨어나게 해주세요.
"," 4,229
												"
63, 기타," 고객이 보험금 수령한 일이 왜 설계사의 잘못인가요?
"," 4,185
												"
64, 기타," **** 거짓광고 및 이용약관 미이행
"," 4,075
												"
65, 행정," 내란수괴 노태우의 국가장 취소를 청원합니다
"," 4,045
												"
66, 행정," “****의 ***, 악성민원으로 인한 행정력 낭비를 막아주세요.”
"," 3,997
												"
67, 반려동물," 개물림 사고에 대한 책임을 법적으로 강화시켜주십시오.
"," 3,975
												"
68, 기타," 아빠를 죽음에 이르게 한 병원의 처벌을 요구합니다.
"," 3,953
												"
69, 인권/성평등," 피의자 신상공개 지침 일부개정지침안 반대합니다.
"," 3,926
												"
70, 인권/성평등," 성폭력의 피해와 지독한 2차가해들로 인해 고통속에 살고 있는 힘 없는 우리 가족을 살려주세…
"," 3,809
												"
71, 보건복지," 백신접중후 심장혈전으로 사경을 헤메고 있어요.
"," 3,798
												"
72, 보건복지," 모더나 1차 백신 접종 후 사망
"," 3,709
												"
73, 육아/교육," 피해자인 아이를 학교가 왕따 시켰습니다.
"," 3,693
												"
74, 기타," 코로나 백신 화이자1차 접종 후 더 이상 어머니를 보지 못하게 되었습니다.
"," 3,687
												"
75, 문화/예술/체육/언론," 프로야구 리그중단과 관련하여 KBO *** 총재의 개입에 대한 진상규명을 청원합니다.
"," 3,658
												"
76, 보건복지," 저희 언니가 코로나 백신을 맞고 죽었습니다.
"," 3,622
												"
77, 보건복지," 8월 9일 화이자 1차 백신 접종 후 몇 시간 뒤 남편을 떠나보냈습니다.
"," 3,552
												"
78, 보건복지," 모더나 2차 백신접종 후 다음날 사망
"," 3,532
												"
79, 보건복지," 연차선지급, 수천만원 환수! 이것이 포용복지인가요?
"," 3,462
												"
80, 반려동물," 너무나 잔인한 방법으로, 동물을 학대하고 실험하는 수의사들을 면허취소 해주세요.
"," 3,444
												"
81, 교통/건축/국토," 부산시 **구 재개발 ***지구 조합장(이하 ‘조합장’) 및 관계자들의 문제점을 바로잡아 …
"," 3,386
												"
82, 보건복지," 저희 아버지는 아스트라제네카 2차접종 하루만에 돌아가셨습니다
"," 3,366
												"
83, 문화/예술/체육/언론," 제102회 전국체전 여고부 핸드볼 결승전 편파판정 의혹 규명 해주세요.
"," 3,363
												"
84, 안전/환경," 화이자 백신 임상부실로인한 접종반대 및 치료제수입반대
"," 3,264
												"
85, 보건복지," 편의점 업종 제외 철회 요청
"," 3,185
												"
86, 보건복지," 코로나-19 백신 접종 후, 하반신 마비 및 안면 마비를 온 저희 어머니를 도와주세요.
"," 3,173
												"
87, 보건복지," 화이자백신 1차 접종후 사망
"," 3,133
												"
88, 행정," [긴급상황][도와주세요]16세 죽고 싶을 정도로 힘듭니다.폭행사건 도와주세요.
"," 3,116
												"
89, 교통/건축/국토," 서해선(대곡소사선) 탄현역-야당역-운정역 연장사업을 올해안에 조속히 확정시켜 주세요!
"," 3,029
												"
90, 경제민주화," 기관과 외국인에게도 공매도 상환기간을 적용해주세요. (공매도 담보비율도 수정부탁드립니다)
"," 3,007
												"
91, 반려동물," 군대 내 길고양이 학대 사건
"," 2,935
												"
92, 교통/건축/국토," 주차중 문콕피해에 관련한 대책을 마련해주십시요.
"," 2,916
												"
93, 기타," 악덕 집주인을 만나 바보 아빠가 되었습니다.
"," 2,867
												"
94, 인권/성평등," 백신패스 폐지 청원; 개인의 기본권을 심각하게 침해하는 치별적/반인권적/위헌적 정책
"," 2,862
												"
95, 안전/환경," 지게차 사고로 억울하게 돌아가신 아버지의 한을 풀어 주세요
"," 2,858
												"
96, 육아/교육," 제주도 모중학교 학교폭력 피해자 엄마 입니다.
"," 2,829
												"
97, 보건복지," 제 남편은 아스트라제네카 백신 2차 접종 후 8일 만에 사망했습니다
"," 2,738
												"
98, 보건복지," 화이자백신 접종 이후 제 28번째 생일은 뇌출혈로 돌아가신 아버지의 기일이 되었습니다.
"," 2,719
												"
99, 육아/교육," 급식조리사 및 돌봄전담사 등 학교에서 근무중인 근로자들의  단체행동권 관련 노동관계법 개정…
"," 2,711
												"
100, 보건복지," 코로나 백신(화이자)2차 접종후 기저질환 없으시던 아버지가 돌아가셨습니다.
"," 2,703
												"
101, 보건복지," 늘어나는 백신 부작용자들의 반복된 호소, 그러나 대답없는 메아리
"," 2,639
												"
102, 육아/교육," 태아목에탯줄을 감고있는걸 38주간 단한번도 탯줄에 대해 설명해주지않아 태아가사망하였습니다.…
"," 2,566
												"
103, 기타," 국립공원에서 야생화된 고양이에게 먹이주기 하던 캣맘이 계도하던 공단 직원의 눈에 뿌린 독성…
"," 2,516
												"
104, 기타," HMM의 191회 영구채 상환을 해양진흥공사가 받게 해주세요
"," 2,455
												"
105, 인권/성평등," 공무원·조폭 등 부산 성매매 업주.키스방광고사이트운영자 강력처벌과 신상공개 촉구합니다.
"," 2,440
												"
106, 교통/건축/국토," ***과 맞먹는 재개발 비리의 온상 부산 ***구역 재개발 조합과 시공사 과다한 폭리
"," 2,438
												"
107, 보건복지," 요양병원 잠자는 약물로 생명이 위독하신 어머님을 도와주세요 !!!
"," 2,416
												"
108, 인권/성평등," 여성할당제, 즉각 폐지하십시오
"," 2,415
												"
109, 인권/성평등," 뺑소니 사망 사고를 저지른 파렴치범의 강력한 처벌을 바랍니다.
"," 2,405
												"
110, 보건복지," 백신 부작용으로 인한 뇌출혈 사망
"," 2,391
												"
111, 정치개혁," 노태우 씨 국가장에 반대합니다
"," 2,351
												"
112, 반려동물," 동물농장에 방영된 반려개 트럭 학대범 강력 처벌 해주세요.
"," 2,333
												"
113, 행정," 기획재정부 유권해석(2021.11.02. )의 예고 유예없는 일시적2주택 비과세 보유기간 …
"," 2,254
												"
